model_name,colsample_bytree,learning_rate,max_depth,n_estimators,scale_pos_weight,subsample,train_accuracy,train_roc_auc,train_precision_1,train_recall_1,train_f1_1,val_accuracy,val_roc_auc,val_precision_1_at_0.5,val_recall_1_at_0.5,val_f1_1_at_0.5,best_threshold,val_precision_1,val_recall_1,val_f1_1
xgboost_model_246,0.8,0.03,5,900,5,0.8,0.939770595563702,0.9696108452233888,0.5093113269553786,0.8046613591784931,0.6237924865831842,0.935912857524726,0.9553520788994029,0.48940604376519625,0.7587506731287023,0.5950168918918919,0.68,0.6208198489751888,0.6198169089929995,0.6203179735920237
xgboost_model_321,0.8,0.05,7,1100,1,0.8,0.9802672089126917,0.9929939383821091,0.9253129946754929,0.7418945425175955,0.8235143442622951,0.9583333333333334,0.9553261522579284,0.7375389408099688,0.5099623047926763,0.6029926774912449,0.3,0.6274101094319958,0.6483575659666129,0.6377118644067796
xgboost_model_263,0.8,0.03,6,1100,10,0.8,0.9219781478670542,0.9776964741185891,0.43845899105861574,0.9165801315334026,0.5931678178084749,0.913124832932371,0.9552586739291189,0.4024166009981613,0.8249865374259558,0.5409604519774012,0.77,0.5977238990598713,0.650511577813678,0.6230015471892728
xgboost_model_267,0.8,0.03,7,700,10,0.8,0.9212907937508055,0.9775307283473442,0.43607782785533694,0.9154263297565478,0.5907449462045344,0.9128241112002139,0.9552312797419007,0.4019300991131977,0.8298330640818524,0.5415568441398699,0.76,0.5861902462578464,0.6537425955842757,0.6181262729124236
xgboost_model_329,0.8,0.05,8,900,1,0.8,0.983381782251944,0.9952046707295297,0.9431564245810056,0.7791623399100035,0.8533518670626146,0.9579657845495857,0.9552148489846513,0.7363851617995264,0.5024232633279483,0.5973111395646606,0.32,0.6334405144694534,0.6365105008077544,0.6349717969379532
xgboost_model_259,0.8,0.03,6,900,10,0.8,0.9180974610857331,0.9751078648412507,0.4251296456352636,0.9080419983846775,0.5791235880643144,0.9104183373429564,0.9552004996484893,0.3948979591836735,0.8336025848142165,0.5359182966937857,0.77,0.5921951219512195,0.6537425955842757,0.6214486818530842
xgboost_model_255,0.8,0.03,6,700,10,0.8,0.9129709449687111,0.971828326041572,0.40850907564788586,0.8984654436367832,0.5616502578527895,0.9068096765570703,0.9551907735610106,0.3847675568743818,0.8379106085083468,0.5273682426707338,0.77,0.5858585858585859,0.6558966074313409,0.6189024390243902
xgboost_model_242,0.8,0.03,5,700,5,0.8,0.937579654318159,0.9667236667591644,0.49815096802262343,0.7926618206992039,0.611808709591237,0.9348436246992783,0.9551245901255043,0.48404802744425385,0.7598276790522348,0.5913663034367141,0.68,0.6217391304347826,0.6160473882606354,0.6188801731133351
xgboost_model_318,0.8,0.05,7,900,5,0.8,0.9629616370483869,0.9887325221884624,0.6443086073021642,0.8999653859466944,0.7509748230876618,0.9418938786420743,0.9551099818106817,0.5231736056559309,0.7172859450726979,0.6050420168067226,0.63,0.6110260336906586,0.6445880452342488,0.6273584905660378
xgboost_model_306,0.8,0.05,6,900,5,0.8,0.9534961980725445,0.9824955123175871,0.5849499374217773,0.8628129687319719,0.6972169129644306,0.9395215183106121,0.9550773792748433,0.5087588520313082,0.7350565428109854,0.6013215859030837,0.65,0.6083630800611932,0.6424340333871836,0.6249345206914615
