model_name,threshold,val_roc_auc,val_accuracy,val_precision_1,val_recall_1,val_f1_1
xgboost_model_153,0.37,0.9558447714136361,0.956495589414595,0.6641040804257835,0.6047388260635433,0.6330326944757609
xgboost_model_153,0.31,0.9558447714136361,0.9536220261962042,0.6218181818181818,0.6445880452342488,0.6329984135378107
xgboost_model_329,0.36,0.9552148489846513,0.9561280406308473,0.6581395348837209,0.6095853527194399,0.6329326251048365
xgboost_model_157,0.37,0.9556351425755221,0.9566626570435712,0.6670644391408115,0.6020463112547119,0.632889895273139
xgboost_model_325,0.37,0.9556351425755221,0.9566626570435712,0.6670644391408115,0.6020463112547119,0.632889895273139
xgboost_model_333,0.26,0.954658428536287,0.9517842822774659,0.599903474903475,0.6693591814754981,0.6327309748027488
xgboost_model_157,0.33,0.9556351425755221,0.9547246725474472,0.6370087336244541,0.6284329563812601,0.6326917863919761
xgboost_model_325,0.33,0.9556351425755221,0.9547246725474472,0.6370087336244541,0.6284329563812601,0.6326917863919761
xgboost_model_153,0.3,0.9558447714136361,0.9528201015771184,0.6119778560644187,0.6548196015078083,0.6326742976066597
xgboost_model_321,0.26,0.9553261522579284,0.9512830793905372,0.5945049739459971,0.6758212170166936,0.6325604838709677
xgboost_model_321,0.36,0.9553261522579284,0.9562616947340283,0.6607981220657277,0.6063543349488422,0.6324066273518675
xgboost_model_281,0.28,0.9557857050953974,0.9520181769580326,0.6027330405075647,0.6650511577813678,0.6323604710701485
xgboost_model_329,0.27,0.9552148489846513,0.9517842822774659,0.6000967117988395,0.6682821755519656,0.6323566878980892
xgboost_model_153,0.29,0.9558447714136361,0.9522854851643946,0.605821410952146,0.6612816370490038,0.6323377960865088
xgboost_model_277,0.3,0.9558810667933398,0.9530205827318898,0.6146415861718353,0.6510500807754442,0.6323221757322176
xgboost_model_77,0.3,0.9558810667933398,0.9530205827318898,0.6146415861718353,0.6510500807754442,0.6323221757322176
xgboost_model_141,0.33,0.9558116029614652,0.9547580860732424,0.6378082191780822,0.6268174474959612,0.6322650733297122
xgboost_model_313,0.33,0.9558116029614652,0.9547580860732424,0.6378082191780822,0.6268174474959612,0.6322650733297122
xgboost_model_281,0.29,0.9557857050953974,0.9526530339481422,0.6102204408817635,0.6558966074313409,0.6322346223721775
xgboost_model_317,0.33,0.9556577216780122,0.9547246725474472,0.6374589266155531,0.6268174474959612,0.6320934021178387
